번호,발표연도,가수,곡명,병기,iTunes가수,iTunes곡명,음반,음반연도,판
137,1994,015B,단발머리,,015B,단발머리,Big 5,1994,2026-08-28 15:25
138,1994,DJ DOC,슈퍼맨의 비애,Tragedy of Superman,DJ DOC,Tragedy of Superman,슈퍼맨의 비애,1994,2026-08-28 15:25
139,1994,룰라,100일째 만남,,룰라,100일째 만남,Roots Of Reggae,1994,2026-08-28 15:25
140,1994,룰라,비밀은 없어,,룰라,비밀은 없어,Roots Of Reggae,1994,2026-08-28 15:25
141,1994,마로니에,칵테일 사랑,,마로니에,칵테일 사랑,칵테일 사랑,1994,2026-08-28 15:25
142,1994,박진영,날 떠나지마,,박진영,날 떠나지마,Blue City,1994,2026-08-28 15:25
143,1994,서태지와 아이들,교실 이데아,,서태지와 아이들,교실 이데아,Seotaiji and Boys III,1994,2026-08-28 15:25
144,1994,서태지와 아이들,발해를 꿈꾸며,,서태지와 아이들,발해를 꿈꾸며,Seotaiji and Boys III,1994,2026-08-28 15:25
145,1994,신승훈,그 후로 오랫동안,,신승훈,그 후로 오랫동안,그 후로 오랫동안...,1994,2026-08-28 15:25
146,1994,전람회,기억의 습작,,전람회,기억의 습작,Exhibition,1994,2026-08-28 15:25
147,1994,투투,일과 이분의 일,,투투,일과 이분의 일,투투(Two Two) 일과 이분의 일,1994,2026-08-28 15:25
148,1995,DJ DOC,머피의 법칙,Murphy's Law,DJ DOC,머피의 법칙,머피의 법칙,1995,2026-08-28 15:25
149,1995,R.ef,이별공식,,R.ef,이별 공식,Rave Effect,1995,2026-08-28 15:25
150,1995,김건모,잘못된 만남,Wrongful Meeting,김건모,잘못된 만남,Wrongful Meeting,1995,2026-08-28 15:25
151,1995,노이즈,상상속의 너,,노이즈,상상속의 너,Fantasized You,1995,2026-08-28 15:25
152,1995,녹색지대,준비 없는 이별,,녹색지대,준비 없는 이별,녹색지대Ⅱ,1995,2026-08-28 15:25
153,1995,룰라,날개 잃은 천사,Angel Without Wings,룰라,날개 잃은 천사,날개 잃은 천사,1995,2026-08-28 15:25
154,1995,박미경,이브의 경고,,박미경,이브의 경고 (2009 Remastering),2010 Deluxe Edition,1995,2026-08-28 15:25
155,1995,박진영,엘리베이터,,박진영,엘리베이터,딴따라,1995,2026-08-28 15:25
156,1995,삐삐밴드,유쾌한 씨의 껌씹는 방법,,삐삐밴드,유쾌한 씨의 껌씹는 방법,The Complete Best 1995-1997 (리마스터링),2004,2026-08-28 15:25
157,1995,서태지와 아이들,컴백홈,Come Back Home,서태지와 아이들,Come Back Home,Seotaiji and Boys IV,1995,2026-08-28 15:25
158,1995,솔리드,이 밤의 끝을 잡고,,솔리드,이 밤의 끝을 잡고,나만의 친구 / 이밤의 끝을 잡고,1996,2026-08-28 15:25
159,1995,이소라,난 행복해,,이소라,난 행복해,이소라 Vol.1,1995,2026-08-28 15:25
160,1995,이승환,천일동안,,이승환,천일동안,Human,1995,2026-08-28 15:25
161,1995,터보,나 어릴적 꿈,My Childhood Dream,터보,나 어릴적 꿈,280km / h speed,1995,2026-08-28 15:25
162,1995,패닉,달팽이,,패닉,달팽이,패닉 1집 (Panic),1995,2026-08-28 15:25
163,1996,DJ DOC,여름 이야기,,DJ DOC,여름 이야기,Summer,1996,2026-08-28 15:25
164,1996,H.O.T.,전사의 후예,,H.O.T.,전사의 후예 - 폭력시대,We Hate All Kinds of Violence... - The 1st Album,1996,2026-08-28 15:25
165,1996,H.O.T.,캔디,Candy,H.O.T.,Candy,We Hate All Kinds of Violence... - The 1st Album,1996,2026-08-28 15:25
166,1996,김건모,스피드,,김건모,스피드,Exchange Kg. M4,1996,2026-08-28 15:25
167,1996,김종서,아름다운 구속,,김종서,아름다운 구속,Do you remember,1996,2026-08-28 15:25
168,1996,박미경,기억속의 먼 그대에게,,박미경,기억속의 먼 그대에게,Far Away,1996,2026-08-28 15:25
169,1996,박진영,그녀는 예뻤다,,박진영,그녀는 예뻤다,썸머징글벨,1996,2026-08-28 15:25
170,1996,솔리드,천생연분,,솔리드,천생연분,Light Camera Action!,1990,2026-08-28 15:25
171,1996,양파,애송이의 사랑,,yangpa,애송이의 사랑,Yangpa,1996,2026-08-28 15:25
172,1996,언타이틀,책임져,,언타이틀,책임져,무제 (無題),1996,2026-08-28 15:25
173,1996,이정봉,어떤가요,,이정봉,어떤가요?,어떤가요,1996,2026-08-28 15:25
174,1996,쿨,운명,,쿨,운명,Destined For the Best,1996,2026-08-28 15:25
175,1996,클론,꿍따리 샤바라,Kkung Ttari Shabara,클론,꿍따리 샤바라,Are You Ready?,1996,2026-08-28 15:25
176,1996,클론,난,,클론,난!,Are You Ready?,1996,2026-08-28 15:25
177,1997,H.O.T.,We are the Future,,H.O.T.,We Are the Future,Wolf & Sheeps - The 2nd Album,1997,2026-08-28 15:25
178,1997,H.O.T.,행복,Full of happiness,H.O.T.,행복,Wolf & Sheeps - The 2nd Album,1997,2026-08-28 15:25
179,1997,S.E.S.,I'm Your Girl,,S.E.S.,I'm Your Girl,S.E.S. - The 1st Album,1997,2026-08-28 15:25
180,1997,김현정,그녀와의 이별,,김현정,그녀와의 이별,Legend,1997,2026-08-28 15:25
181,1997,유승준,가위,,유승준,가위,West Side,1997,2026-08-28 15:25
182,1997,이승환,가족,,이승환,가족,Cycle,1997,2026-08-28 15:25
183,1997,자우림,일탈,,자우림,일탈,Purple Heart,1997,2026-08-28 15:25
184,1997,젝스키스,연정,,젝스키스,연정,학원별곡,1997,2026-08-28 15:25
185,1997,젝스키스,폼생폼사,사나이 가는 길,젝스키스,사나이 가는 길 (폼생폼사),학원별곡,1997,2026-08-28 15:25
186,1997,젝스키스,학원별곡,,젝스키스,학원별곡,학원별곡,1997,2026-08-28 15:25
187,1997,터보,회상,,터보,회상,Born Again,1997,2026-08-28 15:25
188,1998,H.O.T.,열맞춰,,H.O.T.,열맞춰!,Resurretion - The 3rd Album,1998,2026-08-28 15:25
189,1998,S.E.S.,Dreams Come True,,S.E.S.,Dreams Come True,Sea & Eugene & Shoo - The 2nd Album,1998,2026-08-28 15:25
190,1998,S.E.S.,너를 사랑해,,S.E.S.,너를 사랑해,Sea & Eugene & Shoo - The 2nd Album,1998,2026-08-28 15:25
191,1998,신화,으쌰!으쌰!,,신화,으쌰! 으쌰!,해결사 - The 1st Album,1998,2026-08-28 15:25
