번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
96,2016,보이스,무진혁,장혁,강권주,이하나,김윤아,목소리,김윤아,목소리,"보이스, Pt. 2 (Original Television Soundtrack) - Single"
97,2016,옥중화,옥녀,진세연,윤태원,고수,정세린,옥중화 (Feat. 임윤정),정세린,옥중화 (Feat. 임윤정),옥중화 (Original Television Soundtrack)
98,2016,운빨로맨스,심보늬,황정음,제수호,류준열,박혜수,슬픈인연,박혜수,슬픈인연,운빨로맨스 (Original Television Soundtrack)
99,2016,질투의 화신,이화신,조정석,표나리,공효진,에이프릴세컨드,질투의 화신,에이프릴세컨드,질투의 화신,질투의 화신 (Original Television Soundtrack)
100,2016,태양의 후예,유시진,송중기,강모연,송혜교,윤미래,Always,윤미래,Always,"태양의 후예, Pt. 1 (Original Television Soundtrack) - Single"
101,2016,푸른 바다의 전설,허준재,이민호,심청,전지현,윤미래,그대라는 세상,윤미래,그대라는 세상,"푸른 바다의 전설 (Original Television Soundtrack), Pt. 2 - Single"
102,2016,함부로 애틋하게,신준영,김우빈,노을,배수지,에릭남,소나기,에릭남,소나기,"함부로 애틋하게 (Original Television Soundtrack), Vol. 2"
103,2017,당신이 잠든 사이에,정재찬,이종석,남홍주,배수지,브라더수 & 세오,당신이 잠든 사이에,브라더수 & 세오,당신이 잠든 사이에,"당신이 잠든 사이에 (Original Television Soundtrack), Pt. 5 - EP"
104,2017,매드독,최강우,유지태,김민준,우도환,에릭남,해가 지기 전에,에릭남,해가 지기 전에,"매드독 (Original Television Soundtrack), Pt. 1 - Single"
105,2017,슬기로운 감빵생활,김제혁,박해수,이준호,정경호,에릭남,"Bravo, My Life!",에릭남,"Bravo, My Life!",슬기로운 감빵생활 (Original Television Soundtrack)
106,2017,쌈 마이웨이,고동만,박서준,최애라,김지원,케이시,굿모닝,케이시,굿모닝,"KBS2 드라마 쌈, 마이웨이 (Original Television Soundtrack), Pt. 2 - Single"
107,2017,의문의 일승,오일승,윤균상,진진영,정혜성,소울 다이브,의문의 일승,소울 다이브,의문의 일승,"의문의 일승, Pt. 2 (Original Soundtrack) - Single"
108,2017,피고인,박정우,지성,서은혜,권유리,San E,끝까지,San E,끝까지,"피고인 (Original Soundtrack), Pt. 2 - Single"
